"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Belize","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","1","","1","F","2","F","0","0","14","","287","","136","","0",".","0",".","0",".","0",".","0",".","0",".","386","","425","","389","","400","F","1865","","1613","","658","","55","","63","","60","F","47","","50","F"
"Belize","Marine areas","Brackishwater","Crustaceans","Crustaceans","99","","157","","300","F","600","F","656","","936","","717","","1230","","1642","","3163","","3630","","4460","","4400","","10160","","11040","","10653","","7235","","2472","","2279","","4027","","6670","","5047","","5813","","7080","","7163.56","","5150","F"
"Belize","Marine areas","Marine","Aquatic plants","Aquatic plants","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","3.6","","10","F","2.2","","3","F"
"Belize","Marine areas","Marine","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","31","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Belize","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","300","F","384","","85","","82.7","","0","-","0","-","0","-","0",".","0","."
"Benin","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","120","","120","","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Benin","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","7","","7","F","7","","230","","295","","178","","213","F","308","","364","","400","F","500","","667","","1425","","1270",""
"Bhutan","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","15","F","15","F","20","F","24",""
"Bhutan","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","31","","35","F","35","F","30","F","30","F","30","F","30","F","30","F","30","F","30","F","30","F","30","F","30","","30","","30","","30","","30","","30","","36","F","36","F","36","F","65","F","63.34","","54.8","","119","","125",""
"Bolivia (Plurinat.State)","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","144","","159","","186","","525","","519","","520","","300","","312","","320","","328","","335","","250","","328","","274","","310","","300","","230","F","130","","194","","325","","360","","414","","455","","300","","500","","1544",""
"Bolivia (Plurinat.State)","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","371","","41","","80","","124","","98","","96","","80","","75","","65","","70","","70","","70","","90","","101","","140","","130","","225","F","455","","437","","450","","496","","552","","605","","776","","900","","1443.5",""
